,0
1039,1120
1040,1121
1041,1122
1042,1123
1043,1124
1044,1125
1045,1126
1046,1127
1047,1128
1048,1129
1049,1130
1050,1131
1051,1132
1052,1133
1053,1135
1054,1136
1055,1137
1056,1138
1057,1139
1058,1141
1059,1142
1060,1143
1061,1144
1062,1145
1063,1146
1064,1147
1065,1148
1066,1149
1067,1151
1068,1152
1069,1153
1070,1154
1071,1155
1072,1156
1073,1157
1074,1158
1075,1159
1076,1160
1077,1161
1078,1162
1079,1163
1080,1164
1081,1165
1082,1166
1083,1167
1084,1168
1085,1169
1086,1170
1087,1171
1088,1172
1089,1173
1090,1174
1091,1175
1092,1176
1093,1178
1094,1180
1095,1181
1096,1182
1097,1183
1098,1184
1099,1185
1100,1186
1101,1187
1102,1188
1103,1190
1104,1191
1105,1192
1106,1193
1107,1194
1108,1195
1109,1196
1110,1197
1111,1198
1112,1199
1113,1200
1114,1201
1115,1202
1116,1203
1117,1204
1118,1205
1119,1206
1120,1207
1121,1209
1122,1210
1123,1211
1124,1212
1125,1213
1126,1214
1127,1215
1128,1216
1129,1217
1130,1218
1131,1219
1132,1220
1133,1222
1134,1224
1135,1225
1136,1226
1137,1227
1138,1228
1139,1229
1140,1230
1141,1231
1142,1232
1143,1233
1144,1234
1145,1235
1146,1236
1147,1237
1148,1238
1149,1239
1150,1240
1151,1241
1152,1242
1153,1244
1154,1245
1155,1246
1156,1247
1157,1248
1158,1249
1159,1250
1160,1252
1161,1253
1162,1254
1163,1256
1164,1257
1165,1259
1166,1260
1167,1261
1168,1262
1169,1263
1170,1264
1171,1265
1172,1267
1173,1268
1174,1269
1175,1270
1176,1271
1177,1272
1178,1273
1179,1274
1180,1275
1181,1276
1182,1277
1183,1278
1184,1279
1185,1280
1186,1281
1187,1282
1188,1283
1189,1285
1190,1286
1191,1287
1192,1289
1193,1290
1194,1291
1195,1292
1196,1293
1197,1295
1198,1296
1199,1297
1200,1299
1201,1300
1202,1301
1203,1302
1204,1303
1205,1304
1206,1305
1207,1306
1208,1307
1209,1309
1210,1310
1211,1311
1212,1312
1213,1313
1214,1314
1215,1315
1216,1316
1217,1317
1218,1318
1219,1319
1220,1320
1221,1321
1222,1322
1223,1323
1224,1324
1225,1325
1226,1326
1227,1327
1228,1328
1229,1329
1230,1330
1231,1331
1232,1334
1233,1335
1234,1336
1235,1337
1236,1338
1237,1339
1238,1340
1239,1341
1240,1342
1241,1343
1242,1344
1243,1345
1244,1346
1245,1347
1246,1348
1247,1349
1248,1350
1249,1351
1250,1352
1251,1353
1252,1354
1253,1355
1254,1356
1255,1357
1256,1358
1257,1359
1258,1360
1259,1361
1260,1362
1261,1364
1262,1365
1263,1366
1264,1367
1265,1368
1266,1369
1267,1370
1268,1372
1269,1373
1270,1374
1271,1375
1272,1376
1273,1377
1274,1378
1275,1379
1276,1380
1277,1381
1278,1382
1279,1384
1280,1386
1281,1387
1282,1388
1283,1389
1284,1390
1285,1391
1286,1392
1287,1393
1288,1394
1289,1396
1290,1397
1291,1398
1292,1399
1293,1400
1294,1401
1295,1402
1296,1403
1297,1404
1298,1405
1299,1406
1300,1407
1301,1408
1302,1409
1303,1410
1304,1411
1305,1412
1306,1414
1307,1415
1308,1416
1309,1417
1310,1418
1311,1420
1312,1421
1313,1422
1314,1423
1315,1424
1316,1425
1317,1426
1318,1427
1319,1428
1320,1429
1321,1430
1322,1431
1323,1432
1324,1433
1325,1434
1326,1435
1327,1436
1328,1437
1329,1438
1330,1440
1331,1441
1332,1442
1333,1443
1334,1444
1335,1445
1336,1446
1337,1447
1338,1448
1339,1449
1340,1450
1341,1451
1342,1452
1343,1453
1344,1454
1345,1455
1346,1456
1347,1457
1348,1458
1349,1459
1350,1460
1351,1461
1352,1462
1353,1463
1354,1464
1355,1466
1356,1467
1357,1468
1358,1469
1359,1470
1360,1471
1361,1472
1362,1473
1363,1474
1364,1475
1365,1476
1366,1477
1367,1478
1368,1479
1369,1480
1370,1481
1371,1482
1372,1483
1373,1484
1374,1485
1375,1486
1376,1487
1377,1488
1378,1489
1379,1490
1380,1491
1381,1492
1382,1493
1383,1494
1384,1496
1385,1497
1386,1498
1387,1499
1388,1500
1389,1501
1390,1502
1391,1503
1392,1504
1393,1505
1394,1507
1395,1508
1396,1510
1397,1511
1398,1512
1399,1513
1400,1514
1401,1515
1402,1516
1403,1517
1404,1518
1405,1519
1406,1520
1407,1521
1408,1522
1409,1523
1410,1524
1411,1525
1412,1527
1413,1528
1414,1529
1415,1530
1416,1531
1417,1532
1418,1533
1419,1534
1420,1535
1421,1536
1422,1537
1423,1538
1424,1539
1425,1540
1426,1541
1427,1542
1428,1543
1429,1544
1430,1545
1431,1546
1432,1547
1433,1548
1434,1549
1435,1550
1436,1551
1437,1552
1438,1553
1439,1554
1440,1555
1441,1556
1442,1557
1443,1558
1444,1559
1445,1560
1446,1562
1447,1563
1448,1564
1449,1565
1450,1566
1451,1567
1452,1568
1453,1569
1454,1570
1455,1571
1456,1572
1457,1573
1458,1574
1459,1575
1460,1576
1461,1577
1462,1578
1463,1579
1464,1580
1465,1581
1466,1582
1467,1583
1468,1584
1469,1585
1470,1586
1471,1587
1472,1588
1473,1589
1474,1590
1475,1591
1476,1592
1477,1593
1478,1594
1479,1595
1480,1596
1481,1597
1482,1598
1483,1599
1484,1600
1485,1601
1486,1602
1487,1603
1488,1604
1489,1605
1490,1606
1491,1607
1492,1608
1493,1609
1494,1610
1495,1611
1496,1612
1497,1613
1498,1614
1499,1615
1500,1616
1501,1617
1502,1618
1503,1619
1504,1620
1505,1621
1506,1622
1507,1623
1508,1624
1509,1625
1510,1626
1511,1627
1512,1628
1513,1630
1514,1631
1515,1632
1516,1633
1517,1634
1518,1635
1519,1636
1520,1637
1521,1638
1522,1639
1523,1640
1524,1641
1525,1642
1526,1643
1527,1644
1528,1645
1529,1646
1530,1647
1531,1648
1532,1649
1533,1650
1534,1651
1535,1652
1536,1654
1537,1655
1538,1656
1539,1657
1540,1658
1541,1659
1542,1660
1543,1661
1544,1662
1545,1663
1546,1665
1547,1666
1548,1667
1549,1668
1550,1669
1551,1670
1552,1671
1553,1672
1554,1673
1555,1674
1556,1675
1557,1677
1558,1678
1559,1679
1560,1680
1561,1681
1562,1682
1563,1683
1564,1684
1565,1685
1566,1686
1567,1687
1568,1688
1569,1689
1570,1690
1571,1691
1572,1693
1573,1694
1574,1695
1575,1696
1576,1697
1577,1698
1578,1699
1579,1700
1580,1701
1581,1702
1582,1703
1583,1704
1584,1705
1585,1706
1586,1708
1587,1709
1588,1710
1589,1711
1590,1712
1591,1713
1592,1714
1593,1715
1594,1716
1595,1717
1596,1718
1597,1719
1598,1720
1599,1721
1600,1722
1601,1723
1602,1724
1603,1725
1604,1726
1605,1727
1606,1728
1607,1729
1608,1730
1609,1732
1610,1733
1611,1735
1612,1736
1613,1737
1614,1738
1615,1739
1616,1740
1617,1741
1618,1742
1619,1743
1620,1744
1621,1745
1622,1746
1623,1749
1624,1750
1625,1751
1626,1752
1627,1754
1628,1755
1629,1756
1630,1757
1631,1758
1632,1759
1633,1761
1634,1762
1635,1763
1636,1764
1637,1765
1638,1766
1639,1767
1640,1768
1641,1769
1642,1770
1643,1771
1644,1772
1645,1773
1646,1774
1647,1775
1648,1776
1649,1777
1650,1778
1651,1780
1652,1781
1653,1782
1654,1783
1655,1784
1656,1785
1657,1786
1658,1787
1659,1788
1660,1789
1661,1790
1662,1791
1663,1794
1664,1795
1665,1796
1666,1797
1667,1798
1668,1799
1669,1800
1670,1801
1671,1802
1672,1803
1673,1804
1674,1805
1675,1806
1676,1808
1677,1809
1678,1810
1679,1811
1680,1812
1681,1813
1682,1814
1683,1816
1684,1817
1685,1818
1686,1819
1687,1820
1688,1822
1689,1823
1690,1824
1691,1826
1692,1827
1693,1828
1694,1829
1695,1830
1696,1831
1697,1832
1698,1833
1699,1834
1700,1835
1701,1836
1702,1838
1703,1839
1704,1840
1705,1841
1706,1842
1707,1843
1708,1844
1709,1845
1710,1846
1711,1847
1712,1848
1713,1849
1714,1850
1715,1851
1716,1852
1717,1853
1718,1854
1719,1855
1720,1856
1721,1857
1722,1858
1723,1859
1724,1861
1725,1862
1726,1863
1727,1864
1728,1865
1729,1867
1730,1868
1731,1869
1732,1870
1733,1871
1734,1872
1735,1873
1736,1874
1737,1875
1738,1876
1739,1877
1740,1878
1741,1879
1742,1881
1743,1882
1744,1883
1745,1884
1746,1885
1747,1886
1748,1887
1749,1888
1750,1889
1751,1890
1752,1891
1753,1892
1754,1893
1755,1894
1756,1896
1757,1897
1758,1899
1759,1900
1760,1901
1761,1902
1762,1903
1763,1904
1764,1905
1765,1906
1766,1907
1767,1908
1768,1909
1769,1910
1770,1911
1771,1912
1772,1913
1773,1914
1774,1915
1775,1916
1776,1917
1777,1918
1778,1919
1779,1920
1780,1921
1781,1922
1782,1923
1783,1924
1784,1925
1785,1926
1786,1927
1787,1928
1788,1929
1789,1930
1790,1931
1791,1932
1792,1933
1793,1934
1794,1935
1795,1936
1796,1937
1797,1938
1798,1939
1799,1940
1800,1941
1801,1943
1802,1944
1803,1945
1804,1946
1805,1947
1806,1948
1807,1949
1808,1950
1809,1951
1810,1952
1811,1953
1812,1954
1813,1955
1814,1956
1815,1957
1816,1958
1817,1959
1818,1960
1819,1961
1820,1963
1821,1964
1822,1965
1823,1966
1824,1967
1825,1970
1826,1971
1827,1972
1828,1973
1829,1974
1830,1975
1831,1976
1832,1977
1833,1978
1834,1979
1835,1981
1836,1982
1837,1983
1838,1984
1839,1985
1840,1986
1841,1988
1842,1989
1843,1990
1844,1991
1845,1992
1846,1993
1847,1994
1848,1995
1849,1996
1850,1997
1851,1998
1852,1999
